Type|Date|Time|Number|GrossWeight|TareWeight|NetWeight|GrossBushels|MoistureLevel|MoistureLevelDockage|ForeignMaterial|ForeignMaterialDockage|NetBushels

Wheat|20170618|111400|42093|32303.|10780.|21523.00|358.72|14.60|3.95|0.99|3.55|351.22

Wheat|20170619|115500|42113|32307.|10780.|21527.00|358.78|14.00|1.79|0.94|3.37|353.62

Wheat|20170619|124600|42118|32339.|10775.|21564.00|359.40|13.40|-0.36|0.32|1.15|358.61

Wheat|20170619|133300|42126|32444.|10770.|21674.00|361.23|12.90|-2.17|0.37|1.34|362.06

Wheat|20170619|141500|42133|32636.|10765.|21871.00|364.52|12.50|-3.65|0.54|1.97|366.19

Wheat|20170619|150400|42149|32857.|10760.|22097.00|368.28|12.10|-5.16|0.83|3.06|370.38

Wheat|20170619|155800|42171|32816.|10750.|22066.00|367.77|11.70|0.00|0.43|1.58|366.19

Wheat|20170619|164700|42195|32786.|10745.|22041.00|367.35|11.60|0.00|0.95|3.49|363.86

Wheat|20170620|124500|42219|32572.|10780.|21792.00|363.20|12.00|-5.45|0.02|0.07|368.58

Wheat|20170620|133400|42230|30600.|10775.|19825.00|330.42|13.30|-0.66|0.43|1.42|329.66

Wheat|20170620|142000|42242|32407.|10770.|21637.00|360.62|13.10|-1.44|0.94|3.39|358.67

Wheat|20170620|145800|42258|32654.|10765.|21889.00|364.82|12.30|-4.38|0.99|3.61|365.58

Wheat|20170620|153600|42278|33112.|10760.|22352.00|372.53|11.50|0.00|0.73|2.72|369.81

Wheat|20170620|161300|42298|33319.|10750.|22569.00|376.15|11.00|0.00|0.63|2.37|373.78

Wheat|20170620|170100|42328|33949.|10745.|23204.00|386.73|10.80|0.00|0.00|0.00|386.73

Wheat|20170620|180300|42369|34436.|10735.|23701.00|395.02|10.80|0.00|0.61|2.41|392.61

Wheat|20170621|113000|42407|33692.|10780.|22912.00|381.87|11.50|0.00|0.81|3.09|378.77

Wheat|20170621|122500|42419|33467.|10775.|22692.00|378.20|11.20|0.00|0.63|2.38|375.82

Wheat|20170621|131100|42435|33245.|10770.|22475.00|374.58|10.90|0.00|0.39|1.46|373.12

Wheat|20170621|135500|42460|32859.|10765.|22094.00|368.23|10.50|0.00|0.29|1.07|367.17

Wheat|20170621|144300|42485|33073.|10760.|22313.00|371.88|10.20|0.00|0.99|3.68|368.20

Wheat|20170621|155600|42506|33002.|10750.|22252.00|370.87|10.20|0.00|0.02|0.07|370.79

Wheat|20170621|165000|42527|33207.|10745.|22462.00|374.37|10.20|0.00|0.08|0.30|374.07

Wheat|20170621|173300|42536|21958.|10735.|11223.00|187.05|10.20|0.00|0.50|0.94|186.11

Wheat|20170621|182500|42400|23778.|10730.|13048.00|217.47|11.00|0.00|0.21|0.46|217.01

Wheat|20170622|133000|42581|32417.|10780.|21637.00|360.62|11.10|0.00|0.30|1.08|359.53

Wheat|20170623|111000|42761|31941.|10775.|21166.00|352.77|12.70|-2.82|0.04|0.14|355.45

Wheat|20170623|112400|42755|31821.|10780.|21041.00|350.68|13.20|-1.05|0.43|1.51|350.23

Wheat|20170623|120300|42781|32310.|10770.|21540.00|359.00|12.60|-3.23|0.51|1.83|360.40

Wheat|20170623|125400|42792|32520.|10765.|21755.00|362.58|12.40|-3.99|0.85|3.08|363.49

Wheat|20170623|134600|42815|32632.|10760.|21872.00|364.53|12.10|-5.10|0.48|1.75|367.89

Wheat|20170623|143200|42833|31985.|10750.|21235.00|353.92|11.70|0.00|0.86|3.04|350.87

Wheat|20170623|152600|42855|32896.|10745.|22151.00|369.18|11.40|0.00|0.66|2.44|366.75

Wheat|20170623|164700|42879|32711.|10735.|21976.00|366.27|11.30|0.00|0.05|0.18|366.08

Wheat|20170624|122400|42898|33033.|10780.|22253.00|370.88|11.70|0.00|0.75|2.78|368.10

Wheat|20170624|133600|42909|32841.|10775.|22066.00|367.77|12.50|-3.68|0.44|1.62|369.83

Wheat|20170624|140300|42929|33449.|10770.|22679.00|377.98|12.30|-4.54|0.48|1.81|380.70

Wheat|20170624|145200|42945|32907.|10765.|22142.00|369.03|12.00|-5.54|0.50|1.85|372.72

Wheat|20170624|153600|42978|22984.|10760.|12224.00|203.73|11.20|0.00|0.86|1.75|201.98

Wheat|20170624|161500|42968|30035.|10750.|19285.00|321.42|11.40|0.00|0.22|0.71|320.71

Soybean|20170924|132400|43771|31474.|10780.|20694.00|344.90|10.60|0.00|0.65|2.24|342.66

Soybean|20170928|130100|43814|31959.|10780.|21179.00|352.98|10.70|0.00|0.84|2.97|350.02

Soybean|20170929|140200|43899|30972.|10780.|20192.00|336.53|12.30|-4.04|0.36|1.21|339.36

Soybean|20171002|124400|44170|30460.|10780.|19680.00|328.00|12.90|-1.97|0.61|2.00|327.97

